ClimateZoneAnd,pro_AI,pred_median_c,pred_median_14c
warm temperate,0.240852314474651,8.299081522352825,-483.322707255571
tropical,0.240852314474651,1.5928811770154914,-190.26642591559485
cold temperate,0.240852314474651,7.693007049884757,-461.55711517694454
arid,0.240852314474651,2.3853150009034665,-289.1197341985163
warm temperate,1.1150482301677576,0.8102416844141767,-136.31774470051255
tropical,1.1150482301677576,0.9913320351685204,-139.03295892740172
cold temperate,1.1150482301677576,0.9489820377546342,-133.08348440575102
arid,1.1150482301677576,0.7764370709160624,-110.58358941629302
warm temperate,1.9892441458608643,0.9398564497560955,-159.23092322193054
tropical,1.9892441458608643,1.0904994161294754,-149.61215196795075
cold temperate,1.9892441458608643,1.202821492053853,-186.07515198623543
arid,1.9892441458608643,0.8820091114780353,-101.44535148926931
warm temperate,2.863440061553971,0.8075845807212465,-150.942464940636
tropical,2.863440061553971,0.8031696665310913,-169.88739316884693
cold temperate,2.863440061553971,1.1056760641361816,-161.41475974147664
arid,2.863440061553971,0.6341664392179743,-115.82860554684518
warm temperate,3.7376359772470775,0.8156195085626684,-152.31499789859504
tropical,3.7376359772470775,1.106613127775175,-163.0430971988738
cold temperate,3.7376359772470775,1.0243779759668228,-167.94391746628682
arid,3.7376359772470775,0.6359946328306203,-116.88219965606123
warm temperate,4.6118318929401845,0.5945269357130827,-175.66611809941344
tropical,4.6118318929401845,0.7428688115231467,-173.35160897027376
cold temperate,4.6118318929401845,0.7862984879671667,-183.0494179483803
arid,4.6118318929401845,0.4155797462789885,-126.51616591838005
warm temperate,5.486027808633291,0.5603541421527949,-177.82817073237413
tropical,5.486027808633291,0.6591415807031731,-200.51934712460948
cold temperate,5.486027808633291,0.7310720382690793,-179.50491311584955
arid,5.486027808633291,0.36473285393511146,-122.23309273609208
warm temperate,6.3602237243263975,0.5268041294976835,-190.54640658757307
tropical,6.3602237243263975,0.6502586953140682,-209.58938445549015
cold temperate,6.3602237243263975,0.71896666155673306,-187.1048991058859
arid,6.3602237243263975,0.32918758666032993,-127.43728786870686
warm temperate,7.234419640019504,0.7164946879292401,-333.2007800388361
tropical,7.234419640019504,0.8383752338013953,-274.17726259598487
cold temperate,7.234419640019504,0.7771262064961848,-266.8220285136897
arid,7.234419640019504,0.6217441412902328,-149.3174027993936
warm temperate,8.10861555571261,0.5764909868497816,-285.36468762054335
tropical,8.10861555571261,0.7076983739270157,-270.466831915139
cold temperate,8.10861555571261,0.7209364929460614,-231.76243581449086
arid,8.10861555571261,0.3472626816727516,-142.16333753567594
warm temperate,8.982811471405718,0.5764909868497816,-285.42540504792316
tropical,8.982811471405718,0.7076983739270157,-270.466831915139
cold temperate,8.982811471405718,0.7209364929460614,-231.76243581449086
arid,8.982811471405718,0.34711245361341275,-142.16333753567594
warm temperate,9.857007387098824,0.576521742606234,-285.42540504792316
tropical,9.857007387098824,0.7076983739270157,-270.4842163840026
cold temperate,9.857007387098824,0.7209364929460614,-231.76243581449086
arid,9.857007387098824,0.34651526499542384,-142.80651018360336
warm temperate,10.731203302791931,0.576521742606234,-285.4689765970969
tropical,10.731203302791931,0.7076741492398011,-270.4842163840026
cold temperate,10.731203302791931,0.7209364929460614,-231.76243581449086
arid,10.731203302791931,0.3465854423381885,-143.80946224595584
warm temperate,11.605399218485037,0.5723793562944025,-284.86032284362375
tropical,11.605399218485037,0.7007664510263625,-272.9713276642704
cold temperate,11.605399218485037,0.7209364929460614,-231.92885153615856
arid,11.605399218485037,0.34318381248141405,-149.02020867885705
warm temperate,12.479595134178144,0.5493512507530878,-282.62274718226143
tropical,12.479595134178144,0.6791973537918642,-270.99672340749737
cold temperate,12.479595134178144,0.7196080282835071,-232.32727300392588
arid,12.479595134178144,0.3340155681046558,-150.64336746297937
warm temperate,13.35379104987125,0.5492546215239915,-295.2669047666175
tropical,13.35379104987125,0.679152478265773,-267.2885550820956
cold temperate,13.35379104987125,0.7193749863144121,-244.03952506554637
arid,13.35379104987125,0.3331885524548536,-153.07372819201683
warm temperate,14.227986965564357,0.5492546215239915,-295.2669047666175
tropical,14.227986965564357,0.679152478265773,-267.2885550820956
cold temperate,14.227986965564357,0.7193749863144121,-244.03952506554637
arid,14.227986965564357,0.3331885524548536,-153.07372819201683
warm temperate,15.102182881257464,0.5492546215239915,-295.2669047666175
tropical,15.102182881257464,0.679152478265773,-267.2885550820956
cold temperate,15.102182881257464,0.7193749863144121,-244.03952506554637
arid,15.102182881257464,0.3331885524548536,-153.07372819201683
warm temperate,15.97637879695057,0.5516697500306307,-302.24299375314536
tropical,15.97637879695057,0.6838337842750823,-269.30964496576865
cold temperate,15.97637879695057,0.7204138597239715,-254.93500309265676
arid,15.97637879695057,0.3345737300863252,-171.88322412602585
warm temperate,16.850574712643677,0.5516697500306307,-302.24299375314536
tropical,16.850574712643677,0.6838337842750823,-269.30964496576865
cold temperate,16.850574712643677,0.7204138597239715,-254.93500309265676
arid,16.850574712643677,0.3345737300863252,-171.88322412602585
