ClimateZoneAnd,lyr_clay_mod,pred_median_c,pred_median_14c
warm temperate,0,0.7654711646288457,-106.19752379151717
tropical,0,0.8192086769758018,-120.4621527921019
cold temperate,0,0.9728833249222247,-102.27626567437007
arid,0,0.33963216369077875,-92.2476095895838
warm temperate,4.195086770041748,0.8383397094695205,-115.26826311693523
tropical,4.195086770041748,0.7176642186334284,-97.27821051740037
cold temperate,4.195086770041748,1.0576771118562605,-124.6492817475159
arid,4.195086770041748,0.4920360837024516,-119.48246608235704
warm temperate,8.390173540083495,0.9515692880052694,-120.4160849482637
tropical,8.390173540083495,0.706482992817173,-73.68688583356399
cold temperate,8.390173540083495,1.1784004352345914,-119.6956505263528
arid,8.390173540083495,0.6106561260535721,-122.15748458130244
warm temperate,12.585260310125243,0.9341518615916824,-135.94726781591316
tropical,12.585260310125243,0.7088921815050411,-77.05899384486452
cold temperate,12.585260310125243,1.1070224318436357,-139.89746074282007
arid,12.585260310125243,0.5612011963479694,-136.75976095326845
warm temperate,16.78034708016699,0.9151406410275202,-138.29575214702672
tropical,16.78034708016699,0.7385499277461876,-89.82587869891954
cold temperate,16.78034708016699,1.1284257318973603,-140.95471149568093
arid,16.78034708016699,0.5573351766952888,-140.95263422409073
warm temperate,20.975433850208738,1.0067844635717584,-137.3540725214848
tropical,20.975433850208738,0.7163797028809458,-90.3381658149065
cold temperate,20.975433850208738,1.3679103121833747,-139.09720768817994
arid,20.975433850208738,0.5366317248142979,-141.23345088864298
warm temperate,25.170520620250485,0.9374376743508018,-145.77691550415676
tropical,25.170520620250485,0.7133662710334692,-94.20570993480705
cold temperate,25.170520620250485,1.2010768399620553,-147.18326012767747
arid,25.170520620250485,0.5419411249888849,-141.518578796449
warm temperate,29.365607390292233,1.1146003695373419,-168.0832718329822
tropical,29.365607390292233,0.7140087129041737,-135.8960125918536
cold temperate,29.365607390292233,1.359970455948776,-164.5966756692651
arid,29.365607390292233,0.586996304873011,-158.58303073515486
warm temperate,33.56069416033398,1.3741839592884075,-146.7394743061834
tropical,33.56069416033398,0.791131674698297,-130.22536835560766
cold temperate,33.56069416033398,1.5361707349825655,-170.4541757781929
arid,33.56069416033398,0.7189027565032757,-163.82509645978314
warm temperate,37.75578093037573,1.4616289995519751,-165.4765378760655
tropical,37.75578093037573,0.8395414033256224,-134.17218514527724
cold temperate,37.75578093037573,1.4514111436923376,-201.90369831144562
arid,37.75578093037573,0.7959645968560575,-184.12011618165468
warm temperate,41.950867700417476,1.353252433231899,-186.994544794604
tropical,41.950867700417476,0.7917514637486123,-160.2808024928761
cold temperate,41.950867700417476,1.3946912302963221,-227.47840355746558
arid,41.950867700417476,0.7056674873909035,-203.84673205903806
warm temperate,46.14595447045922,1.3397743281051546,-183.85463695683143
tropical,46.14595447045922,0.7831309129366663,-139.27202451474835
cold temperate,46.14595447045922,1.3998323528805725,-223.2947075807397
arid,46.14595447045922,0.7281198088924861,-207.69929421944153
warm temperate,50.34104124050097,1.3339802541144008,-206.92850133637353
tropical,50.34104124050097,0.7986283195597768,-144.48870855992536
cold temperate,50.34104124050097,1.4537610426687855,-243.73815978274823
arid,50.34104124050097,0.7103948885175716,-217.6483914422563
warm temperate,54.53612801054272,1.3553615297614434,-214.73697094965272
tropical,54.53612801054272,0.8604030760522645,-145.7219057060943
cold temperate,54.53612801054272,1.4880504348965193,-250.52419373312523
arid,54.53612801054272,0.7209303623474377,-221.62674318828653
warm temperate,58.731214780584466,1.4037078157828389,-218.5163090295896
tropical,58.731214780584466,0.8560225064335589,-146.9219516488059
cold temperate,58.731214780584466,1.559194179099203,-251.29072945696484
arid,58.731214780584466,0.7531312235257376,-222.26143754260272
warm temperate,62.926301550626214,1.405725345506327,-206.01890133433074
tropical,62.926301550626214,0.8536288897269688,-159.16038432927806
cold temperate,62.926301550626214,1.5779674238103967,-235.8530914976145
arid,62.926301550626214,0.761201666759048,-206.7217185618652
warm temperate,67.12138832066796,1.4053169926700335,-214.60956142539783
tropical,67.12138832066796,0.8773802077361713,-160.6939834402622
cold temperate,67.12138832066796,1.5599811431227486,-241.88504676527577
arid,67.12138832066796,0.7630498529246776,-215.75452480676296
warm temperate,71.3164750907097,1.385069814634719,-221.62374709943296
tropical,71.3164750907097,0.8820542909689144,-161.36804267100595
cold temperate,71.3164750907097,1.5560853097235283,-249.39606287506552
arid,71.3164750907097,0.7614323326482444,-218.16799676669865
warm temperate,75.51156186075146,1.3763933730155968,-222.58828002002147
tropical,75.51156186075146,0.9061476914077987,-161.48690606872174
cold temperate,75.51156186075146,1.5580871403796006,-248.94211855240835
arid,75.51156186075146,0.7615741927307872,-216.97489626289962
warm temperate,79.70664863079321,1.3719109315631712,-223.01630205858123
tropical,79.70664863079321,0.951784291982692,-158.30433193610594
cold temperate,79.70664863079321,1.558271147389818,-248.8504908562948
arid,79.70664863079321,0.7615741927307872,-216.97489626289962
