MineralGroupsNew,lyr_clay_mod,pred_median_c,pred_median_14c
primary mineral,0,0.7562527034585809,-102.49927896265729
low-activity clay,0,0.8274898156959388,-117.0158686471357
high-activity clay,0,0.8246764090079562,-103.29375017236359
primary mineral,4.195086770041748,0.775805432856602,-119.04986938072908
low-activity clay,4.195086770041748,0.7627398740761235,-100.20388426529539
high-activity clay,4.195086770041748,0.8472955481009944,-122.60044771941158
primary mineral,8.390173540083495,0.896660699446926,-118.7362643755581
low-activity clay,8.390173540083495,0.7618511626413673,-95.83880318215024
high-activity clay,8.390173540083495,0.9221094666063139,-119.05874082893484
primary mineral,12.585260310125243,0.8526169093687719,-134.10231046742436
low-activity clay,12.585260310125243,0.7608386346618026,-94.64169545306325
high-activity clay,12.585260310125243,0.8917197066931495,-136.38977404185272
primary mineral,16.78034708016699,0.8513464413847052,-130.04126219677977
low-activity clay,16.78034708016699,0.7919507454167758,-110.40121963428324
high-activity clay,16.78034708016699,0.909317043462048,-147.20308322845847
primary mineral,20.975433850208738,0.9338165330008588,-129.09187999670365
low-activity clay,20.975433850208738,0.8043510151913048,-107.8039723209171
high-activity clay,20.975433850208738,1.0817349035366168,-148.56860087293825
primary mineral,25.170520620250485,0.8882724225066465,-137.8690405415242
low-activity clay,25.170520620250485,0.7705882738327544,-108.20130025156513
high-activity clay,25.170520620250485,1.0135261621810685,-157.84209964222487
primary mineral,29.365607390292233,0.9931168206033764,-161.92907852811373
low-activity clay,29.365607390292233,0.8269797803067545,-139.04112871036992
high-activity clay,29.365607390292233,1.157233965013745,-179.29501807415005
primary mineral,33.56069416033398,1.1356801028262278,-157.23286451324165
low-activity clay,33.56069416033398,1.0361364465417284,-127.65224722879012
high-activity clay,33.56069416033398,1.385180641990073,-164.80388269692548
primary mineral,37.75578093037573,1.1290239242645461,-179.8011165859963
low-activity clay,37.75578093037573,1.1409669587271234,-136.3355719717036
high-activity clay,37.75578093037573,1.4157673665092834,-191.51059038231443
primary mineral,41.950867700417476,1.0301968040458032,-201.1442059057515
low-activity clay,41.950867700417476,1.053123416836134,-162.86548941502477
high-activity clay,41.950867700417476,1.3345054016533546,-217.50107020909476
primary mineral,46.14595447045922,1.0325707137863145,-197.47155979776946
low-activity clay,46.14595447045922,1.013754603366987,-149.24060304774034
high-activity clay,46.14595447045922,1.3378542848179706,-211.21378555381762
primary mineral,50.34104124050097,1.0555660006133991,-220.2722688873555
low-activity clay,50.34104124050097,0.9985843664829592,-156.5137199502935
high-activity clay,50.34104124050097,1.3449220709085148,-230.28141298535806
primary mineral,54.53612801054272,1.0756134309025356,-228.73776366030853
low-activity clay,54.53612801054272,1.0445799012250945,-159.3594915219167
high-activity clay,54.53612801054272,1.3607079891742364,-235.82115517813386
primary mineral,58.731214780584466,1.1502945226082337,-228.57130620870956
low-activity clay,58.731214780584466,1.0607082739332312,-159.66368042928323
high-activity clay,58.731214780584466,1.419295723025479,-235.8346617082651
primary mineral,62.926301550626214,1.1520497995679633,-217.68966245538573
low-activity clay,62.926301550626214,1.0544585123353962,-166.74644625115388
high-activity clay,62.926301550626214,1.4231736142680353,-223.9059641760364
primary mineral,67.12138832066796,1.1469386053549457,-224.38664287259138
low-activity clay,67.12138832066796,1.0544391174908854,-168.57587301080775
high-activity clay,67.12138832066796,1.4165434582483183,-235.97084239793963
primary mineral,71.3164750907097,1.1428798393279684,-229.29915276938962
low-activity clay,71.3164750907097,1.045111760783895,-171.48566135169045
high-activity clay,71.3164750907097,1.4118822397792212,-242.36421228658224
primary mineral,75.51156186075146,1.1432689041292987,-229.82642180717303
low-activity clay,75.51156186075146,1.0579672069985395,-171.91657275743478
high-activity clay,75.51156186075146,1.411682754399191,-242.68771077700256
primary mineral,79.70664863079321,1.1442006269617762,-230.05358049111967
low-activity clay,79.70664863079321,1.0767535376337087,-169.8525146014142
high-activity clay,79.70664863079321,1.410858768062916,-242.7359480346663
