ClimateZoneAnd,pro_MAT_mod,pred_median_c,pred_median_14c
warm temperate,-8.78750038146973,1.213327856655998,-245.38817451229232
tropical,-8.78750038146973,1.7091299386105956,-248.3322537636442
cold temperate,-8.78750038146973,1.2934239527269855,-203.95286066912348
arid,-8.78750038146973,0.697724052880153,-288.0324395936947
warm temperate,-6.877631940339745,1.2099308994080626,-242.9830928668269
tropical,-6.877631940339745,1.694964102892536,-243.57860795436795
cold temperate,-6.877631940339745,1.2898750891066622,-201.07301328480614
arid,-6.877631940339745,0.6962994290792877,-285.40827185765136
warm temperate,-4.9677634992097595,1.2166954420443645,-241.77536619114892
tropical,-4.9677634992097595,1.7045621456485363,-241.01722485542666
cold temperate,-4.9677634992097595,1.302401888028318,-199.77690098437768
arid,-4.9677634992097595,0.6986073908984731,-284.851067579542
warm temperate,-3.0578950580797732,1.120745104153107,-288.24730886066027
tropical,-3.0578950580797732,1.6910730917742922,-296.29831237315466
cold temperate,-3.0578950580797732,1.1435496305593487,-258.47472935082914
arid,-3.0578950580797732,0.6811417687050876,-307.066135059975
warm temperate,-1.148026616949788,1.3325172989451248,-265.3499567896773
tropical,-1.148026616949788,1.7478757040389454,-284.9067123033999
cold temperate,-1.148026616949788,1.417280863271135,-238.53446334314006
arid,-1.148026616949788,0.8206232890777831,-284.59633963531326
warm temperate,0.7618418241801983,1.366010914522016,-261.3483306375606
tropical,0.7618418241801983,1.7524052767678693,-280.90447764203026
cold temperate,0.7618418241801983,1.4663150123556523,-233.78517959376074
arid,0.7618418241801983,0.8451271367822709,-274.209256070285
warm temperate,2.6717102653101836,1.4588370030721933,-239.1400991135137
tropical,2.6717102653101836,1.8231430668807052,-268.6412862402664
cold temperate,2.6717102653101836,1.544480116114564,-211.39155223977033
arid,2.6717102653101836,0.9199239169057916,-257.65722865704805
warm temperate,4.581578706440169,1.359304685804291,-245.22223678638073
tropical,4.581578706440169,1.8514081205273079,-276.61440207990836
cold temperate,4.581578706440169,1.451933876016267,-218.02637747604695
arid,4.581578706440169,0.6889753016161787,-236.99206197818657
warm temperate,6.491447147570154,1.357613576181695,-197.83906689641645
tropical,6.491447147570154,1.5716264686147878,-256.725895655019
cold temperate,6.491447147570154,1.5883864167272674,-178.79221269197512
arid,6.491447147570154,0.6597907900168509,-183.23137138819877
warm temperate,8.40131558870014,1.167076371955043,-151.49558946108243
tropical,8.40131558870014,1.6108345217683402,-223.59288331908073
cold temperate,8.40131558870014,1.3163000745346802,-133.15458701387917
arid,8.40131558870014,0.5004266297015374,-164.19031449109684
warm temperate,10.311184029830127,1.1260214140161566,-162.01475027274554
tropical,10.311184029830127,2.638163847398425,-218.99399770615224
cold temperate,10.311184029830127,1.2732775274756998,-140.05642172350846
arid,10.311184029830127,0.5046248183478649,-181.90878036409228
warm temperate,12.22105247096011,1.5331023312978702,-158.26271218318362
tropical,12.22105247096011,3.3579150501511035,-253.2055582279315
cold temperate,12.22105247096011,1.3354772982266907,-129.45113503363896
arid,12.22105247096011,0.5052665777029638,-162.2597976018064
warm temperate,14.130920912090097,1.4788124047826199,-147.56889172868304
tropical,14.130920912090097,3.4776279448811165,-220.44550899136678
cold temperate,14.130920912090097,1.156174155465983,-122.26986149691777
arid,14.130920912090097,0.48694909568928607,-145.47074745601017
warm temperate,16.04078935322008,1.3351329028924335,-145.5499212475707
tropical,16.04078935322008,3.037015617511017,-231.76826300498684
cold temperate,16.04078935322008,0.9875546971240005,-122.6932118359012
arid,16.04078935322008,0.42169313569923006,-137.62399521469354
warm temperate,17.950657794350068,1.3307573916607058,-170.90095007926783
tropical,17.950657794350068,2.5629285992018325,-227.26147731802877
cold temperate,17.950657794350068,1.076162530868115,-159.19819433887753
arid,17.950657794350068,0.5248720516656458,-171.601512157085
warm temperate,19.86052623548005,0.8157089696439775,-142.73421983751345
tropical,19.86052623548005,0.7376058914632454,-155.56965098865456
cold temperate,19.86052623548005,0.8190103742856386,-137.58827405135258
arid,19.86052623548005,0.5018315918881534,-137.95371474410769
warm temperate,21.77039467661004,0.8907243549515098,-97.45339138445436
tropical,21.77039467661004,0.785577013585273,-145.40471806582784
cold temperate,21.77039467661004,0.971927835733492,-80.74383882888519
arid,21.77039467661004,0.5313579645400652,-78.17729131661092
warm temperate,23.680263117740022,0.8861782060346564,-69.85794246743038
tropical,23.680263117740022,0.8218654251981166,-100.13109717827618
cold temperate,23.680263117740022,0.9473175994137842,-46.85539516852587
arid,23.680263117740022,0.521094937019082,-62.11042625730485
warm temperate,25.59013155887001,0.8330344729602974,-119.30842480633015
tropical,25.59013155887001,0.7129920078471934,-172.323294136004
cold temperate,25.59013155887001,0.9064562756192709,-85.84002241882222
arid,25.59013155887001,0.5479914097297959,-100.07450932166694
warm temperate,27.5,1.03494421359264,-77.68482821541866
tropical,27.5,1.0019755191160622,-113.29905937793973
cold temperate,27.5,1.0487528031286975,-42.62029979232632
arid,27.5,0.606825367056993,-64.00025839167269
