MineralGroupsNew,UD,pred_median_c,pred_median_14c
primary mineral,1,3.264960596138238,23.805657138959898
low-activity clay,1,2.3789677741345647,46.827077432835154
high-activity clay,1,3.0139503578500086,0.7603316105024902
primary mineral,6.2105263157894735,3.101994759797776,18.33063975710289
low-activity clay,6.2105263157894735,2.303706404363257,41.80101460801657
high-activity clay,6.2105263157894735,2.762868435633864,-1.760971168163597
primary mineral,11.421052631578947,2.4625320859256985,2.1731337842715366
low-activity clay,11.421052631578947,1.9792408440352849,18.966684075117442
high-activity clay,11.421052631578947,2.3226785098147444,-21.236731984091186
primary mineral,16.63157894736842,1.76394797013398,-34.415131244766904
low-activity clay,16.63157894736842,1.590265238361204,-13.27924431636631
high-activity clay,16.63157894736842,2.0228643129925827,-47.81422642435989
primary mineral,21.842105263157894,1.3350093286348064,-60.712256952130296
low-activity clay,21.842105263157894,1.1733598630553446,-37.53356657878749
high-activity clay,21.842105263157894,1.5944508574719825,-72.77218770473874
primary mineral,27.052631578947366,1.0300947349531706,-78.72289541830877
low-activity clay,27.052631578947366,1.0053905358860213,-55.87152592831562
high-activity clay,27.052631578947366,1.4159074274817685,-97.9537272007697
primary mineral,32.26315789473684,0.8348444524829374,-97.635963463106
low-activity clay,32.26315789473684,0.9047330941973329,-73.29569146611522
high-activity clay,32.26315789473684,1.2767776001124298,-115.32570943825601
primary mineral,37.473684210526315,0.7523999003071185,-117.60167277450451
low-activity clay,37.473684210526315,0.8149864632562425,-93.3841150228074
high-activity clay,37.473684210526315,1.1319862140998431,-131.01646757126548
primary mineral,42.68421052631579,0.6666444948223572,-136.5619327952905
low-activity clay,42.68421052631579,0.7217559558902407,-123.66924540060924
high-activity clay,42.68421052631579,1.009416180603569,-162.77394968472512
primary mineral,47.89473684210526,0.5978995441430434,-155.56584800687858
low-activity clay,47.89473684210526,0.6778343513096428,-145.87511109896099
high-activity clay,47.89473684210526,0.8603918908550702,-177.1815543325351
primary mineral,53.10526315789473,0.5456593690257455,-170.52436500470642
low-activity clay,53.10526315789473,0.6651523096214922,-164.25763298047357
high-activity clay,53.10526315789473,0.7647855378029408,-193.98533028755693
primary mineral,58.315789473684205,0.5155098397922386,-182.6045363486836
low-activity clay,58.315789473684205,0.6407056795371003,-182.72787788806602
high-activity clay,58.315789473684205,0.7223028300939444,-211.25015900434707
primary mineral,63.526315789473685,0.470697924797641,-204.15457231471493
low-activity clay,63.526315789473685,0.6008827611140478,-212.36068551497246
high-activity clay,63.526315789473685,0.6923369346472347,-234.34178191477048
primary mineral,68.73684210526315,0.4478938355416071,-227.42225471152216
low-activity clay,68.73684210526315,0.5777779531272567,-230.9380755770672
high-activity clay,68.73684210526315,0.6735997232692743,-250.54392779080018
primary mineral,73.94736842105263,0.4235630271215281,-239.1302010499639
low-activity clay,73.94736842105263,0.5583393475483726,-241.68245716145884
high-activity clay,73.94736842105263,0.6451478757457494,-262.13779607591994
primary mineral,79.1578947368421,0.4016864861304713,-250.5195134955944
low-activity clay,79.1578947368421,0.5320553774985242,-251.40809950872483
high-activity clay,79.1578947368421,0.6254699458037623,-271.40056116904134
primary mineral,84.36842105263158,0.3964954759441366,-269.02108226992755
low-activity clay,84.36842105263158,0.5175456151174169,-265.82849973564703
high-activity clay,84.36842105263158,0.6096827586255075,-283.5384176216515
primary mineral,89.57894736842105,0.38871847746594534,-281.42210530056
low-activity clay,89.57894736842105,0.508595002740143,-272.76212241797657
high-activity clay,89.57894736842105,0.6013620728007506,-297.89618177404685
primary mineral,94.78947368421052,0.3753369691305049,-288.52842868436994
low-activity clay,94.78947368421052,0.49620138671670216,-277.9752240076164
high-activity clay,94.78947368421052,0.5893105383716942,-305.13186642590745
primary mineral,100,0.373543733124866,-291.94486968506885
low-activity clay,100,0.49586067938298717,-279.99255456163985
high-activity clay,100,0.5921154910521299,-309.1492097458713
